"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"VSTR_TOOLTIP_SPI","spawn an item in your inventory","spawn an item in your inventory","spawnout předmět do inventáře","Item in dein Inventar spawnen","заспавнить предмет в инвентарь","zrespawnuj przedmiot do ekwipunku","tárgy spawnolása az inventoryba","spawna un oggetto nell'inventario","spawnear objeto en el inventario","spawner un objet dans l'inventaire","生成物品到背包","アイテムをインベントリにスポーン","spawnar item no inventário","生成物品到背包",
"VSTR_TOOLTIP_AMMO","repair and reload weapon in hand","repair and reload weapon in hand","opravit a přebít zbraň v ruce","Waffe in der Hand reparieren und nachladen","починить и перезарядить оружие в руке","napraw i przeładuj broń w ręku","kézben lévő fegyver javítása és újratöltése","ripara e ricarica l'arma in mano","reparar y recargar el arma en mano","réparer et recharger l'arme en main","修理並為手上的武器裝填","手持ちの武器を修理しリロード","reparar e recarregar a arma na mão","修理并为手上的武器装填",
"VSTR_TOOLTIP_TPP","teleport to coordinates","teleport to coordinates","teleportovat na souřadnice","Zu Koordinaten teleportieren","телепортироваться к координатам","teleportuj do współrzędnych","teleportálás koordinátákra","teletrasportati a coordinate","teletransportarse a coordenadas","se téléporter à des coordonnées","傳送到座標","座標にテレポート","teletransportar para coordenadas","传送到坐标",
"VSTR_TOOLTIP_TPT","teleport to a position saved in your presets","teleport to a position saved in your presets","teleportovat na pozici uloženou v presetech","Zu einer in deinen Presets gespeicherten Position teleportieren","телепортироваться на позицию из ваших пресетов","teleportuj na pozycję zapisaną w twoich presetach","teleportálás a presetekben mentett pozícióra","teletrasportati a una posizione salvata nei tuoi preset","teletransportarse a una posición guardada en tus presets","se téléporter vers une position enregistrée dans vos presets","傳送到您預設中儲存的位置","プリセットに保存した位置へテレポート","teletransportar para uma posição salva nos seus presets","传送到您预设中保存的位置",
"VSTR_TOOLTIP_GOTO","teleport to a player by name","teleport to a player by name","teleportovat k hráči podle jména","Zu einem Spieler per Name teleportieren","телепортироваться к игроку по имени","teleportuj do gracza po nazwie","teleportálás játékoshoz név alapján","teletrasportati a un giocatore per nome","teletransportarse a un jugador por nombre","se téléporter vers un joueur par nom","依名稱傳送到玩家","名前でプレイヤーへテレポート","teletransportar para um jogador pelo nome","按名称传送到玩家",
"VSTR_TOOLTIP_RETURN","teleport player by name to previously cached position","teleport player by name to previously cached position","teleportovat hráče podle jména na dříve uloženou pozici","Spieler per Name zur zuvor zwischengespeicherten Position teleportieren","телепортировать игрока по имени на ранее сохранённую позицию","teleportuj gracza po nazwie na wcześniej zapisaną pozycję","játékos teleportálása név alapján a korábban gyorsítótárazott pozícióra","teletrasporta un giocatore per nome alla posizione memorizzata in precedenza","teletransportar a un jugador por nombre a la posición almacenada previamente","téléporter un joueur par nom vers la position mise en cache auparavant","依名稱將玩家傳送到先前快取的位置","名前でプレイヤーを先にキャッシュした位置へテレポート","teletransportar um jogador pelo nome para a posição armazenada anteriormente","按名称将玩家传送到先前缓存的位置",
"VSTR_TOOLTIP_BRING","teleport player by name to you","teleport player by name to you","teleportovat hráče podle jména k vám","Spieler per Name zu dir teleportieren","телепортировать игрока по имени к вам","teleportuj gracza po nazwie do siebie","játékos teleportálása név alapján hozzád","teletrasporta un giocatore per nome da te","teletransportar a un jugador por nombre hacia ti","téléporter un joueur par nom vers vous","依名稱將玩家傳送到您身邊","名前でプレイヤーを自分の所へテレポート","teletransportar um jogador pelo nome até você","按名称将玩家传送到您身边",
"VSTR_TOOLTIP_HEAL","heal player by name or self","heal player by name or self","vyléčit hráče podle jména nebo sebe","Spieler per Name oder dich selbst heilen","вылечить игрока по имени или себя","ulecz gracza po nazwie lub siebie","játékos gyógyítása név alapján vagy saját magad","cura un giocatore per nome o te stesso","curar a un jugador por nombre o a ti mismo","soigner un joueur par nom ou vous-même","依名稱治療玩家或自己","名前でプレイヤー、または自分自身を回復","curar um jogador pelo nome ou a si mesmo","按名称治疗玩家或自己",
"VSTR_TOOLTIP_KILL","kill player by name or self","kill player by name or self","zabít hráče podle jména nebo sebe","Spieler per Name oder dich selbst töten","убить игрока по имени или себя","zabij gracza po nazwie lub siebie","játékos megölése név alapján vagy saját magad","uccidi un giocatore per nome o te stesso","matar a un jugador por nombre o a ti mismo","tuer un joueur par nom ou vous-même","依名稱殺死玩家或自己","名前でプレイヤー、または自分自身をキル","matar um jogador pelo nome ou a si mesmo","按名称杀死玩家或自己",
"VSTR_TOOLTIP_STRIP","strip player gear by name or self","strip player gear by name or self","svléknout výbavu hráče podle jména nebo sebe","Ausrüstung des Spielers per Name oder dich selbst ausziehen","снять снаряжение с игрока по имени или с себя","zdejmij ekwipunek gracza po nazwie lub swój","játékos felszerelésének levétele név alapján vagy saját magad","togli l'equipaggiamento a un giocatore per nome o a te stesso","quitar el equipo a un jugador por nombre o a ti mismo","retirer l'équipement d'un joueur par nom ou le vôtre","依名稱脫下玩家或自己的裝備","名前でプレイヤー、または自分自身の装備を外す","remover o equipamento de um jogador pelo nome ou o seu","按名称脱下玩家或自己的装备",
"VSTR_TOOLTIP_CLEAR","clears commands history","clears commands history","vymaže historii příkazů","Befehlshistorie löschen","очищает историю команд","czyści historię komend","parancselőzmények törlése","cancella la cronologia dei comandi","limpia el historial de comandos","efface l'historique des commandes","清除指令歷史","コマンド履歴をクリア","limpa o histórico de comandos","清除命令历史",
"VSTR_TOOLTIP_COMMANDCONSOLE_KEYS","Arrow key UP/DOWN to cycle between previously executed commands","Arrow key UP/DOWN to cycle between previously executed commands","Šipky NAHORU/DOLŮ pro procházení dříve spuštěných příkazů","Pfeiltaste HOCH/RUNTER, um zwischen zuvor ausgeführten Befehlen zu wechseln","Стрелки ВВЕРХ/ВНИЗ для переключения между ранее выполненными командами","Strzałki GÓRA/DÓŁ, aby przewijać poprzednio wykonane komendy","FEL/LE nyíl a korábban futtatott parancsok közti léptetéshez","Freccia SU/GIÙ per scorrere i comandi eseguiti in precedenza","Flechas ARRIBA/ABAJO para moverte por los comandos ejecutados anteriormente","Flèches HAUT/BAS pour parcourir les commandes exécutées précédemment","使用 上/下 方向鍵瀏覽先前執行過的指令","↑/↓ で以前に実行したコマンドを巡回","Setas CIMA/BAIXO para percorrer os comandos executados anteriormente","使用 上/下 方向键浏览之前执行过的命令",
"VSTR_ESP_FILTER_RESTORE_TITLE","Restore Default?","Restore Default?","Obnovit výchozí?","Auf Werkseinstellungen zurücksetzen?","Восстановить значения по умолчанию?","Przywrócić domyślne?","Visszaállítod az alapértelmezést?","Ripristinare predefiniti?","¿Restablecer predeterminados?","Réinitialiser les valeurs par défaut?","要還原為預設值嗎?","デフォルトに戻しますか?","Restaurar padrões?","还原为默认值？",
"VSTR_ESP_FILTER_RESTORE","Are you sure you wish to restore default filters? (This will not remove any of your custom made filters!)","Are you sure you wish to restore default filters? (This will not remove any of your custom made filters!)","Opravdu chcete obnovit výchozí filtry? (Neodstraní to žádné vaše vlastní filtry!)","Möchtest du die Standardfilter wirklich wiederherstellen? (Eigene Filter werden nicht entfernt!)","Вы уверены, что хотите восстановить стандартные фильтры? (Ваши пользовательские фильтры не будут удалены!)","Czy na pewno chcesz przywrócić domyślne filtry? (To nie usunie twoich własnych filtrów!)","Biztosan vissza szeretnéd állítani az alapértelmezett szűrőket? (A saját készítésű szűrőket nem töröljük!)","Sei sicuro di voler ripristinare i filtri predefiniti? (Questo non rimuoverà i tuoi filtri personalizzati!)","¿Seguro que quieres restablecer los filtros predeterminados? (¡Esto no elimina tus filtros personalizados!)","Êtes-vous sûr de vouloir rétablir les filtres par défaut? (Cela ne supprime pas vos filtres personnalisés!)","確定要還原預設篩選器?（不會移除您的自訂篩選器!）","本当にデフォルトフィルターを復元しますか?（カスタムフィルターは削除されません）","Tem certeza de que deseja restaurar os filtros padrão? (Isso não remove seus filtros personalizados!)","确定要还原默认筛选器吗？（不会移除您的自定义筛选器！）",
"VSTR_ESP_CREATE_FILTER","Create Custom Filter","Create Custom Filter","Vytvořit vlastní filtr","Benutzerdefinierten Filter erstellen","Создать пользовательский фильтр","Utwórz własny filtr","Egyedi szűrő létrehozása","Crea filtro personalizzato","Crear filtro personalizado","Créer un filtre personnalisé","建立自訂篩選器","カスタムフィルターを作成","Criar filtro personalizado","创建自定义筛选器",
"VSTR_ESP_FILTER_INFO","Please insert the item type/class name or base class name of item.","Please insert the item type/class name or base class name of item.","Zadejte typ/„class name" předmětu nebo název základní třídy předmětu.","Gib den Itemtyp/Klassennamen oder den Basisklassennamen des Items ein.","Введите тип/имя класса предмета или имя базового класса.","Wprowadź typ/„class name" przedmiotu lub nazwę klasy bazowej przedmiotu.","Add meg a tárgy típusát/„class name"-jét vagy az alap osztály nevét.","Inserisci il tipo/""class name"" dell'oggetto o il nome della classe base dell'oggetto.","Introduce el tipo/""class name"" del objeto o el nombre de la clase base del objeto.","Saisissez le type/«class name» de l'objet ou le nom de la classe de base.","輸入物品的類型/「class name」或其基底類別名稱。","アイテムのタイプ/「class name」またはベースクラス名を入力してください。","Digite o tipo/""class name"" do item ou o nome da classe base do item.","请输入物品的类型/类名（class name）或基类名称。",
"VSTR_ESP_TITLE_DELETE","Delete Items","Delete Items","Smazat položky","Items löschen","Удалить предметы","Usuń przedmioty","Tárgyak törlése","Elimina oggetti","Eliminar objetos","Supprimer les objets","刪除項目","アイテムを削除","Excluir itens","删除项目",
"VSTR_ESP_DEL_CONFIRM","Are you sure you wish to delete ALL ITEMS in the list? (You can't revert once you delete this item)","Are you sure you wish to delete ALL ITEMS in the list? (You can't revert once you delete this item)","Opravdu chcete smazat VŠECHNY POLOŽKY v seznamu? (Po smazání nelze vrátit)","Möchtest du WIRKLICH ALLE ITEMS in der Liste löschen? (Dies kann nicht rückgängig gemacht werden)","Вы уверены, что хотите удалить ВСЕ ПРЕДМЕТЫ в списке? (Это действие нельзя отменить)","Czy na pewno chcesz usunąć WSZYSTKIE PRZEDMIOTY z listy? (Po usunięciu nie można cofnąć)","Biztosan törölni szeretnéd az ÖSSZES TÁRGYAT a listában? (A művelet nem visszavonható)","Sei sicuro di voler eliminare TUTTI GLI OGGETTI nella lista? (Non è possibile annullare)","¿Seguro que quieres eliminar TODOS LOS OBJETOS de la lista? (No se puede deshacer)","Êtes-vous sûr de vouloir supprimer TOUS LES OBJETS de la liste? (Impossible d'annuler)","確定要刪除清單中的所有項目?（刪除後無法復原）","本当にリスト内の全てのアイテムを削除しますか?（元に戻せません）","Tem certeza de que deseja excluir TODOS OS ITENS da lista? (Não é possível desfazer)","确定要删除列表中的所有项目吗？（删除后无法恢复！）",
"VSTR_ESP_TOOLTIP","When the toggle button is green it means ESP will scan every second with new data.","When the toggle button is green it means ESP will scan every second with new data.","Pokud je přepínač zelený, ESP skenuje každou sekundu nové údaje.","Wenn der Schalter grün ist, scannt ESP jede Sekunde mit neuen Daten.","Если переключатель зелёный, ESP будет сканировать каждую секунду с новыми данными.","Gdy przełącznik jest zielony, ESP skanuje co sekundę z nowymi danymi.","Ha a kapcsoló zöld, az ESP másodpercenként új adatokkal szkennel.","Quando l'interruttore è verde, ESP eseguirà la scansione ogni secondo con nuovi dati.","Cuando el interruptor está en verde, ESP escaneará cada segundo con datos nuevos.","Lorsque l'interrupteur est vert, ESP effectue un scan chaque seconde avec de nouvelles données.","當開關為綠色時，ESP 每秒會以新資料掃描一次。","スイッチが緑の時、ESP は毎秒新しいデータでスキャンします。","Quando a chave estiver verde, o ESP fará varredura a cada segundo com novos dados.","当开关为绿色时，ESP 每秒会以新数据扫描一次。",
"VSTR_ESP_Q_REMOVE","Are you sure you wish to remove","Are you sure you wish to remove","Opravdu chcete odstranit","Möchtest du wirklich entfernen","Вы уверены, что хотите удалить","Czy na pewno chcesz usunąć","Biztosan szeretnéd eltávolítani","Sei sicuro di voler rimuovere","¿Seguro que quieres eliminar","Êtes-vous sûr de vouloir retirer","確定要從清單中移除","本当にリストから","Tem certeza de que deseja remover","确定要从列表中移除",
"VSTR_ESP_Q_REMOVE_2","from the list?","from the list?","ze seznamu?","aus der Liste?","из списка?","z listy?","a listáról?","dalla lista?","de la lista?","de la liste?","从列表中移除？","を削除しますか?","da lista?","从列表中移除？",
"VSTR_ESP_DEL_CONFIRM_2","Are you sure you wish to delete","Are you sure you wish to delete","Opravdu chcete smazat","Möchtest du wirklich löschen","Вы уверены, что хотите удалить","Czy na pewno chcesz usunąć","Biztosan szeretnéd törölni","Sei sicuro di voler eliminare","¿Seguro que quieres eliminar","Êtes-vous sûr de vouloir supprimer","確定要刪除","本当に削除しますか","Tem certeza de que deseja excluir","确定要删除",
"VSTR_ESP_DEL_CONFIRM_3","? (You can't revert once you delete this item!)","? (You can't revert once you delete this item!)","? (Po smazání položky nelze vrátit!)","? (Dies kann nach dem Löschen nicht rückgängig gemacht werden!)","? (После удаления вернуть нельзя!)","? (Po usunięciu nie można cofnąć!)","? (A törlés nem visszavonható!)","? (Una volta eliminato non è possibile annullare!)","? (¡No se puede deshacer después de eliminar!)","? (Impossible d'annuler après la suppression!)","?（刪除後無法復原!）","?（削除後は元に戻せません!）","? (Não é possível desfazer após excluir!)","吗？（删除后无法恢复！）",
"VSTR_NOTIFY_ERR_UNIQUE","You must give the preset a unique name!","You must give the preset a unique name!","Musíte presetu zadat jedinečný název!","Du musst dem Preset einen eindeutigen Namen geben!","Необходимо задать пресету уникальное имя!","Musisz nadać presetowi unikalną nazwę!","Egyedi nevet kell adnod a presetnek!","Devi dare al preset un nome univoco!","¡Debes darle al preset un nombre único!","Vous devez donner au preset un nom unique!","您必須替該預設命名為唯一名稱!","プリセットに一意の名前を付ける必要があります!","Você deve dar ao preset um nome exclusivo!","您必须为该预设赋予唯一名称！",
"VSTR_DISPLAY_PARENT","(Parent)","(Parent)","(Nadřazené)","(Eltern)","(Родитель)","(Nadrzędny)","(Szülő)","(Genitore)","(Padre)","(Parent)","（父項）","（親）","(Pai)","（父项）",
"VSTR_TOOLTIP_ITEMMGR","2x left click on an item from the 'Item List' on the right side of the panel to spawn it according to the options you have selected from the 'Spawn Options` at the bottom of the panel.<br/>To make a new preset","2x left click on an item from the 'Item List' on the right side of the panel to spawn it according to the options you have selected from the 'Spawn Options` at the bottom of the panel.<br/>To make a new preset","2x left click on an item from the 'Item List' on the right side of the panel to spawn it according to the options you have selected from the 'Spawn Options` at the bottom of the panel.<br/>To make a new preset","2x left click on an item from the 'Item List' on the right side of the panel to spawn it according to the options you have selected from the 'Spawn Options` at the bottom of the panel.<br/>To make a new preset","2x left click on an item from the 'Item List' on the right side of the panel to spawn it according to the options you have selected from the 'Spawn Options` at the bottom of the panel.<br/>To make a new preset","2x left click on an item from the 'Item List' on the right side of the panel to spawn it according to the options you have selected from the 'Spawn Options` at the bottom of the panel.<br/>To make a new preset","2x left click on an item from the 'Item List' on the right side of the panel to spawn it according to the options you have selected from the 'Spawn Options` at the bottom of the panel.<br/>To make a new preset","2x left click on an item from the 'Item List' on the right side of the panel to spawn it according to the options you have selected from the 'Spawn Options` at the bottom of the panel.<br/>To make a new preset","2x left click on an item from the 'Item List' on the right side of the panel to spawn it according to the options you have selected from the 'Spawn Options` at the bottom of the panel.<br/>To make a new preset","2x left click on an item from the 'Item List' on the right side of the panel to spawn it according to the options you have selected from the 'Spawn Options` at the bottom of the panel.<br/>To make a new preset","在面板右側的「Item List」中對項目按兩下左鍵，將依面板底部「Spawn Options」所選來生成。<br/>若要建立新預設","パネル右側の「Item List」のアイテムを左ダブルクリックすると、下部の「Spawn Options」で選択したオプションに従ってスポーンします。<br/>新しいプリセットを作成するには","Dê um duplo clique com o botão esquerdo em um item na ""Item List"" do lado direito do painel para spawná‑lo conforme as opções selecionadas abaixo em ""Spawn Options"".<br/>Para criar um novo preset","在面板右侧的“物品列表”中，双击某个物品，即可根据您在面板底部的“生成选项”中选择的设置生成该物品。<br/>创建新预设",
"VSTR_TITLE_SAVEDPRESETS","Saved Item Presets","Saved Item Presets","Uložené item presety","Gespeicherte Item-Presets","Сохранённые пресеты предметов","Zapisane presety przedmiotów","Mentett tárgy‑presetek","Preset oggetti salvati","Presets de objetos guardados","Presets d'objets sauvés","已儲存的物品預設","保存済みアイテムプリセット","Presets de itens salvos","已保存的物品预设",
"VSTR_NOTIFY_ERR_NOPRESET","No Preset Selected!","No Preset Selected!","Není vybrán žádný preset!","Kein Preset ausgewählt!","Пресет не выбран!","Nie wybrano presetu!","Nincs kiválasztott preset!","Nessun preset selezionato!","¡Ningún preset seleccionado!","Aucun preset sélectionné!","未選取任何預設!","プリセットが選択されていません!","Nenhum preset selecionado!","未选择任何预设！",
"VSTR_NOTIFY_ERR_NOTSELECTPRESET","Error Adding Item to Preset: No Preset Selected!","Error Adding Item to Preset: No Preset Selected!","Chyba při přidávání položky do presetu: Není vybrán žádný preset!","Fehler beim Hinzufügen des Items zum Preset: Kein Preset ausgewählt!","Ошибка добавления предмета в пресет: пресет не выбран!","Błąd dodawania przedmiotu do presetu: Nie wybrano presetu!","Hiba a tárgy presethez adásakor: Nincs kiválasztott preset!","Errore aggiungendo oggetto al preset: Nessun preset selezionato!","Error al añadir el objeto al preset: ¡Ningún preset seleccionado!","Erreur lors de l'ajout de l'objet au preset: aucun preset sélectionné!","將項目加入預設時發生錯誤：未選取任何預設!","アイテムをプリセットに追加中にエラー: プリセットが選択されていません!","Erro ao adicionar item ao preset: Nenhum preset selecionado!","将项目加入预设时发生错误：未选择任何预设！",
"VSTR_NOTIFY_ERR_SPAWN_PRESET","Error Spawn Preset: No Players Selected!","Error Spawn Preset: No Players Selected!","Chyba při spawnu presetu: Nejsou vybráni hráči!","Fehler beim Spawn des Presets: Keine Spieler ausgewählt!","Ошибка спавна пресета: не выбраны игроки!","Błąd spawnu presetu: Nie wybrano graczy!","Hiba a preset spawnolásakor: Nincsenek kiválasztott játékosok!","Errore spawn preset: Nessun giocatore selezionato!","Error al spawnear el preset: ¡No se seleccionaron jugadores!","Erreur de spawn du preset: aucun joueur sélectionné!","生成預設時發生錯誤：未選取玩家!","プリセットのスポーンエラー: プレイヤーが選択されていません!","Erro ao spawnar o preset: Nenhum jogador selecionado!","生成预设时发生错误：未选择玩家！",
"VSTR_NOTIFY_ERR_SPAWN_PRESET_NOPLAYER","Error Spawn Preset: No Players Selected!","Error Spawn Preset: No Players Selected!","Chyba při spawnu presetu: Nejsou vybráni hráči!","Fehler beim Spawn des Presets: Keine Spieler ausgewählt!","Ошибка спавна пресета: не выбраны игроки!","Błąd spawnu presetu: Nie wybrano graczy!","Hiba a preset spawnolásakor: Nincsenek kiválasztott játékosok!","Errore spawn preset: Nessun giocatore selezionato!","Error al spawnear el preset: ¡No se seleccionaron jugadores!","Erreur de spawn du preset: aucun joueur sélectionné!","生成預設時發生錯誤：未選取玩家!","プリセットのスポーンエラー: プレイヤーが選択されていません!","Erro ao spawnar o preset: Nenhum jogador selecionado!","生成预设时发生错误：未选择玩家！",
"VSTR_ALERT_ENABLE_PHYSICS","Enable Dynamic Physics","Enable Dynamic Physics","Povolit dynamickou fyziku","Dynamische Physik aktivieren","Включить динамическую физику","Włącz dynamiczną fizykę","Dinamikus fizika engedélyezése","Abilita fisica dinamica","Habilitar física dinámica","Activer la physique dynamique","啟用動態物理","ダイナミック物理を有効化","Habilitar física dinâmica","启用动态物理",
"VSTR_TOOLTIP_PHYSICS","This option will enable physics on the object for a few seconds temporarily in order to simulate position randomization. You can use this option to make objects stacking seem<br/>naturally placed","This option will enable physics on the object for a few seconds temporarily in order to simulate position randomization. You can use this option to make objects stacking seem<br/>naturally placed","Tato možnost dočasně na několik sekund povolí fyziku objektu","Diese Option aktiviert die Physik des Objekts für ein paar Sekunden vorübergehend, um eine zufällige Positionsverschiebung zu simulieren. Dadurch wirkt das Stapeln von Objekten<br/>natürlicher platziert","Эта опция на несколько секунд включает физику объекта для имитации случайного смещения. Можно использовать, чтобы складывание объектов выглядело<br/>естественно размещённым","Ta opcja tymczasowo włączy fizykę obiektu na kilka sekund, aby zasymulować losową zmianę pozycji. Możesz użyć, aby układanie obiektów wyglądało<br/>naturalnie umieszczone","Ez az opció pár másodpercre engedélyezi az objektum fizikáját, hogy szimulálja a pozíció véletlenszerűsítését. Használhatod, hogy a tárgyrakás<br/>természetesebbnek hasson","Questa opzione abilita temporaneamente per alcuni secondi la fisica dell'oggetto per simulare una randomizzazione della posizione. Puoi usarla per far sembrare l'impilamento degli oggetti<br/>posizionato in modo naturale","Esta opción habilita temporalmente por unos segundos la física del objeto para simular una aleatorización de la posición. Puedes usarla para que el apilado de objetos parezca<br/>colocado de forma natural","Cette option active temporairement la physique de l'objet pendant quelques secondes pour simuler une randomisation de la position. Vous pouvez l'utiliser pour que l'empilement d'objets semble<br/>placé naturellement","此選項會暫時啟用物件的物理數秒，以模擬位置隨機化。可用於讓堆疊的物件看起來<br/>更自然地放置","このオプションは数秒間オブジェクトの物理を一時的に有効にし、位置のランダム化をシミュレートします。オブジェクトの積み重ねを<br/>自然に見せるために使用できます","Esta opção habilita temporariamente por alguns segundos a física do objeto para simular uma aleatorização de posição. Você pode usar para fazer a pilha de objetos parecer<br/>posicionada naturalmente","此选项将暂时启用物体的物理效果几秒钟，以模拟位置随机化。您可以使用此选项使物体堆叠看起来<br/>自然。",
"VSTR_TOOLTIP_EXPORT_SET","Click 'yes' to generate an export of the current set. Exports are saved on server profile: VPPAdminTools\\Exports","Click 'yes' to generate an export of the current set. Exports are saved on server profile: VPPAdminTools\\Exports","Klikněte na ‚Yes‘ pro vytvoření exportu aktuální sady. Exporty se ukládají do profilu serveru: VPPAdminTools\\Exports","Klicke auf ‚Ja‘, um einen Export des aktuellen Sets zu erzeugen. Exporte werden im Serverprofil gespeichert: VPPAdminTools\\Exports","Нажмите «Yes», чтобы создать экспорт текущего набора. Экспорты сохраняются в профиле сервера: VPPAdminTools\\Exports","Kliknij „Yes”, aby wygenerować eksport bieżącego zestawu. Eksporty są zapisywane w profilu serwera: VPPAdminTools\\Exports","Kattints az „Igen” gombra a jelenlegi készlet exportálásához. Az exportok a szerver profiljában tárolódnak: VPPAdminTools\\Exports","Clicca 'Sì' per generare un export del set corrente. Gli export sono salvati nel profilo del server: VPPAdminTools\\Exports","Haz clic en 'Sí' para generar una exportación del set actual. Las exportaciones se guardan en el perfil del servidor: VPPAdminTools\\Exports","Cliquez sur «Oui» pour générer une exportation de l'ensemble actuel. Les exports sont enregistrés dans le profil serveur: VPPAdminTools\\Exports","按一下「Yes」以匯出目前集合。匯出檔會儲存在伺服器設定檔: VPPAdminTools\\Exports","「Yes」をクリックすると、現在のセットをエクスポートします。エクスポートはサーバープロファイルに保存されます: VPPAdminTools\\Exports","Clique em 'Yes' para gerar uma exportação do conjunto atual. As exportações são salvas no perfil do servidor: VPPAdminTools\\Exports","单击“是”以导出当前数据集。导出文件保存在服务器配置文件：VPPAdminTools\\Exports",
"VSTR_NOTIFY_ERR_DUPENAME","Error","Error","Chyba","Fehler","Ошибка","Błąd","Hiba","Errore","Error","Erreur","錯誤","エラー","Erro","错误!",
"VSTR_TITLE_WARNING","Warning!","Warning!","Varování!","Warnung!","Предупреждение!","Ostrzeżenie!","Figyelmeztetés!","Attenzione!","¡Advertencia!","Attention!","警告!","警告!","Atenção!","警告！",
"VSTR_TOOLTIP_SELECT_SET","Selecting another building set will NOT save previous changes to other sets. Continue?","Selecting another building set will NOT save previous changes to other sets. Continue?","Výběr jiné stavební sady NEULOŽÍ předchozí změny v ostatních sadách. Pokračovat?","Das Auswählen eines anderen Bausets SPEICHERT vorherige Änderungen an anderen Sets NICHT. Fortfahren?","Выбор другой строительной серии НЕ сохранит предыдущие изменения в других сериях. Продолжить?","Wybranie innego zestawu budynków NIE zapisze wcześniejszych zmian w innych zestawach. Kontynuować?","Másik építési készlet kiválasztása NEM menti az előző változtatásokat a többi készletben. Folytatod?","Selezionare un altro set di costruzione NON salverà le modifiche precedenti agli altri set. Continuare?","Seleccionar otro set de construcción NO guardará los cambios previos en otros sets. ¿Continuar?","Sélectionner un autre set de construction NE sauvegardera PAS les modifications précédentes dans les autres sets. Continuer?","選擇其他建築集合不會儲存先前對其他集合的變更。要繼續?","別の建築セットを選ぶと、他のセットへの以前の変更は保存されません。続行しますか?","Selecionar outro set de construção NÃO salvará as alterações anteriores nos outros sets. Continuar?","选择其他建筑套装不会保存之前对其他套装所做的更改。是否继续？",
"VSTR_NOTIFY_OBJ_DESELECT","Object deselected!","Object deselected!","Objekt odznačen!","Objekt abgewählt!","Объект снят с выделения!","Obiekt odznaczony!","Objektum kijelölése megszüntetve!","Oggetto deselezionato!","¡Objeto deseleccionado!","Objet désélectionné!","已取消選取物件!","オブジェクトの選択を解除しました!","Objeto desselecionado!","已取消选择对象！",
"VSTR_NOTIFY_OB_SELECTED","Selected Object:","Selected Object:","Vybraný objekt:","Ausgewähltes Objekt:","Выбранный объект:","Wybrany obiekt:","Kiválasztott objektum:","Oggetto selezionato:","Objeto seleccionado:","Objet sélectionné:","已選取物件:","選択中のオブジェクト:","Objeto selecionado:","已选择的对象：",
"VSTR_NOTIFY_ERR_ATTS_SHOWING","Attributes editor already showing!","Attributes editor already showing!","Editor atributů je již zobrazen!","Attribut-Editor wird bereits angezeigt!","Редактор атрибутов уже открыт!","Edytor atrybutów jest już wyświetlany!","Attribútumszerkesztő már meg van nyitva!","L'editor degli attributi è già visibile!","¡El editor de atributos ya está visible!","L'éditeur d'attributs est déjà visible!","屬性編輯器已顯示!","属性エディタは既に表示中です!","O editor de atributos já está visível!","属性编辑器已显示!",
"VSTR_NOTIFY_ERR_NOSET_SELECTED","Cannot spawn object! No Building set selected!<br/><br/> Select or create a new buildingset!","Cannot spawn object! No Building set selected!<br/><br/> Select or create a new buildingset!","Nelze spawnout objekt! Není vybrána žádná stavební sada!<br/><br/> Vyberte nebo vytvořte novou stavební sadu!","Objekt kann nicht gespawnt werden! Kein Bauset ausgewählt!<br/><br/> Wähle ein Bauset aus oder erstelle ein neues!","Невозможно заспавнить объект! Не выбрана строительная серия!<br/><br/> Выберите или создайте новую серию!","Nie można zrespawnować obiektu! Nie wybrano zestawu budynków!<br/><br/> Wybierz lub utwórz nowy zestaw!","Nem lehet objektumot spawnolni! Nincs kiválasztott építési készlet!<br/><br/> Válassz vagy hozz létre új építési készletet!","Impossibile spawnare oggetto! Nessun set di costruzione selezionato!<br/><br/> Seleziona o crea un nuovo set di costruzione!","¡No se puede spawnear el objeto! ¡No hay set de construcción seleccionado!<br/><br/> ¡Selecciona o crea un nuevo set de construcción!","Impossible de spawner l'objet! Aucun set de construction sélectionné!<br/><br/> Sélectionnez ou créez un nouveau set de construction!","無法生成物件!未選取任何建築集合!<br/><br/> 請選取或建立新的建築集合!","オブジェクトをスポーンできません! 建築セットが選択されていません!<br/><br/> 建築セットを選択するか新規作成してください!","Não é possível spawnar o objeto! Nenhum set de construção selecionado!<br/><br/> Selecione ou crie um novo set de construção!","无法生成对象！未选择建筑集！<br/><br/>请选择或创建新的建筑集！",
