"Language","original","german","english","czech","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"VSTR_LBL_RADIUS_DISPLAY","Radius:[{0}]","Radius:[{0}]","Radius:[{0}]","Poloměr:[{0}]","Радиус:[{0}]","Promień:[{0}]","Sugár:[{0}]","Raggio:[{0}]","Radio:[{0}]","Rayon:[{0}]","半徑:[{0}]","半径:[{0}]","Raio:[{0}]","半径:[{0}]",
"VSTR_COLOR_WHITE","White","Weiß","White","Bílá","Белый","Biały","Fehér","Bianco","Blanco","Blanc","白色","白","Branco","白色",
"VSTR_COLOR_GREEN","Green","Grün","Green","Zelená","Зелёный","Zielony","Zöld","Verde","Verde","Vert","綠色","緑","Verde","绿色",
"VSTR_COLOR_BLUE","Blue","Blau","Blue","Modrá","Синий","Niebieski","Kék","Blu","Azul","Bleu","藍色","青","Azul","蓝色",
"VSTR_COLOR_YELLOW","Yellow","Gelb","Yellow","Žlutá","Жёлтый","Żółty","Sárga","Giallo","Amarillo","Jaune","黃色","黄","Amarelo","黄色",
"VSTR_COLOR_ORANGE","Orange","Orange","Orange","Oranžová","Оранжевый","Pomarańczowy","Narancs","Arancione","Naranja","Orange","橙色","オレンジ","Laranja","橙色",
"VSTR_COLOR_RED","Red","Rot","Red","Červená","Красный","Czerwony","Piros","Rosso","Rojo","Rouge","紅色","赤","Vermelho","红色",
"VSTR_COLOR_PURPLE","Purple","Lila","Purple","Fialová","Фиолетовый","Fioletowy","Lila","Viola","Morado","Violet","紫色","紫","Roxo","紫色",
"VSTR_COLOR_BLACK","Black","Schwarz","Black","Černá","Чёрный","Czarny","Fekete","Nero","Negro","Noir","黑色","黒","Preto","黑色",
"VSTR_NOTIFY_HEAL","Player healed successfully","Spieler erfolgreich geheilt","Player healed successfully","Hráč úspěšně vyléčen","Игрок успешно вылечен","Gracz pomyślnie wyleczony","Játékos sikeresen meggyógyítva","Giocatore guarito con successo","Jugador curado exitosamente","Joueur soigné avec succès","玩家治療成功","プレイヤーを治療しました","Jogador curado com sucesso","玩家治疗成功",
"VSTR_NOTIFY_SPECTATE","Spectating player","Spieler beobachten","Spectating player","Sledování hráče","Наблюдение за игроком","Obserwowanie gracza","Játékos figyelése","Osservazione giocatore","Observando jugador","Observer le joueur","觀察玩家","プレイヤーを観戦中","Observando jogador","观察玩家",
"VSTR_NOTIFY_GODMODE_OFF","God mode disabled","Gottmodus deaktiviert","God mode disabled","Režim boha vypnut","Режим бога отключён","Tryb boga wyłączony","Isten mód kikapcsolva","Modalità dio disattivata","Modo dios desactivado","Mode dieu désactivé","上帝模式已關閉","ゴッドモード無効","Modo deus desativado","上帝模式已关闭",
"VSTR_NOTIFY_GODMODE_ON","God mode enabled","Gottmodus aktiviert","God mode enabled","Režim boha zapnut","Режим бога включён","Tryb boga włączony","Isten mód bekapcsolva","Modalità dio attivata","Modo dios activado","Mode dieu activé","上帝模式已開啟","ゴッドモード有効","Modo deus ativado","上帝模式已开启",
"VSTR_NOTIFY_REVOKE_GODMODE","Your god mode has been revoked by admin","Dein Gottmodus wurde vom Admin entzogen","Your god mode has been revoked by admin","Tvůj režim boha byl zrušen administrátorem","Ваш режим бога был отозван администратором","Twój tryb boga został cofnięty przez admina","Az isten módodat visszavonta az admin","La tua modalità dio è stata revocata dall'amministratore","Tu modo dios fue revocado por el admin","Ton mode dieu a été révoqué par l'admin","你的上帝模式已被管理員撤銷","ゴッドモードが管理者により無効化されました","Seu modo deus foi revogado pelo admin","你的上帝模式已被管理员撤销",
"VSTR_NOTIFY_REVOKE_GODMODE_ADMIN","God mode revoked from player","Gottmodus vom Spieler entzogen","God mode revoked from player","Režim boha zrušen hráči","Режим бога отозван у игрока","Tryb boga cofnięty od gracza","Isten mód visszavonva a játékostól","Modalità dio revocata dal giocatore","Modo dios revocado del jugador","Mode dieu révoqué du joueur","已撤銷玩家的上帝模式","プレイヤーのゴッドモードを無効化しました","Modo deus revogado do jogador","已撤销玩家的上帝模式",
"VSTR_NOTIFY_GIVE_GODMODE","Admin has granted you god mode","Admin hat dir den Gottmodus gewährt","Admin has granted you god mode","Administrátor ti udělil režim boha","Администратор предоставил вам режим бога","Admin przyznał ci tryb boga","Az admin megadta neked az isten módot","L'amministratore ti ha concesso la modalità dio","El admin te ha otorgado modo dios","L'admin t'a accordé le mode dieu","管理員已授予你上帝模式","管理者がゴッドモードを付与しました","O admin concedeu a você modo deus","管理员已授予你上帝模式",
"VSTR_NOTIFY_GIVE_GODMODE_ADMIN","God mode granted to player","Gottmodus an Spieler gewährt","God mode granted to player","Režim boha udělen hráči","Режим бога предоставлен игроку","Tryb boga przyznany graczowi","Isten mód megadva a játékosnak","Modalità dio concessa al giocatore","Modo dios otorgado al jugador","Mode dieu accordé au joueur","已授予玩家上帝模式","プレイヤーにゴッドモードを付与しました","Modo deus concedido ao jogador","已授予玩家上帝模式",
"VSTR_NOTIFY_REVOKE_AMMO","Your infinite ammo has been revoked by admin","Deine unendliche Munition wurde vom Admin entzogen","Your infinite ammo has been revoked by admin","Tvá nekonečná munice byla zrušena administrátorem","Ваш бесконечный патроны был отозван администратором","Twoja nieskończona amunicja została cofnięta przez admina","A végtelen lőszeredet visszavonta az admin","Le tue munizioni infinite sono state revocate dall'amministratore","Tu munición infinita fue revocada por el admin","Tes munitions infinies ont été révoquées par l'admin","你的無限彈藥已被管理員撤銷","無限弾薬が管理者により無効化されました","Sua munição infinita foi revogada pelo admin","你的无限弹药已被管理员撤销",
"VSTR_NOTIFY_REVOKE_AMMO_ADMIN","Infinite ammo revoked from player","Unendliche Munition vom Spieler entzogen","Infinite ammo revoked from player","Nekonečná munice zrušena hráči","Бесконечные патроны отозваны у игрока","Nieskończona amunicja cofnięta od gracza","Végtelen lőszer visszavonva a játékostól","Munizioni infinite revocate dal giocatore","Munición infinita revocada del jugador","Munitions infinies révoquées du joueur","已撤銷玩家的無限彈藥","プレイヤーの無限弾薬を無効化しました","Munição infinita revogada do jogador","已撤销玩家的无限弹药",
"VSTR_NOTIFY_GIVE_AMMO","Admin has granted you infinite ammo","Admin hat dir unendliche Munition gewährt","Admin has granted you infinite ammo","Administrátor ti udělil nekonečnou munici","Администратор предоставил вам бесконечные патроны","Admin przyznał ci nieskończoną amunicję","Az admin megadta neked a végtelen lőszert","L'amministratore ti ha concesso munizioni infinite","El admin te ha otorgado munición infinita","L'admin t'a accordé des munitions infinies","管理員已授予你無限彈藥","管理者が無限弾薬を付与しました","O admin concedeu a você munição infinita","管理员已授予你无限弹药",
"VSTR_NOTIFY_GIVE_AMMO_ADMIN","Infinite ammo granted to player","Unendliche Munition an Spieler gewährt","Infinite ammo granted to player","Nekonečná munice udělena hráči","Бесконечные патроны предоставлены игроку","Nieskończona amunicja przyznana graczowi","Végtelen lőszer megadva a játékosnak","Munizioni infinite concesse al giocatore","Munición infinita otorgada al jugador","Munitions infinies accordées au joueur","已授予玩家無限彈藥","プレイヤーに無限弾薬を付与しました","Munição infinita concedida ao jogador","已授予玩家无限弹药",
"VSTR_NOTIFY_TP_BRINGSELF_ERR","Cannot teleport yourself to yourself","Kann dich nicht zu dir selbst teleportieren","Cannot teleport yourself to yourself","Nelze se teleportovat k sobě","Невозможно телепортировать себя к себе","Nie możesz teleportować się do siebie","Nem teleportálhatod magad önmagadhoz","Non puoi teletrasportarti a te stesso","No puedes teletransportarte a ti mismo","Impossible de te téléporter vers toi-même","無法將自己傳送到自己","自分自身にテレポートできません","Não é possível se teletransportar para si mesmo","无法将自己传送到自己",
"VSTR_NOTIFY_ERR_TP_NORETURN","No return position available","Keine Rückkehrposition verfügbar","No return position available","Žádná pozice návratu k dispozici","Нет доступной позиции возврата","Brak dostępnej pozycji powrotu","Nincs elérhető visszatérési pozíció","Nessuna posizione di ritorno disponibile","No hay posición de retorno disponible","Aucune position de retour disponible","沒有可用的返回位置","戻り位置が利用できません","Nenhuma posição de retorno disponível","没有可用的返回位置",
"VSTR_NOTIFY_ERR_TPSELF","Cannot teleport to yourself","Kann nicht zu dir selbst teleportieren","Cannot teleport to yourself","Nelze se teleportovat k sobě","Невозможно телепортироваться к себе","Nie możesz teleportować się do siebie","Nem teleportálhatsz önmagadhoz","Non puoi teletrasportarti a te stesso","No puedes teletransportarte a ti mismo","Impossible de te téléporter vers toi-même","無法傳送到自己","自分自身にテレポートできません","Não é possível se teletransportar para si mesmo","无法传送到自己",
"VSTR_NOTIFY_RESTART_ERROR","Server restart cancelled - No players online","Serverneustart abgebrochen - Keine Spieler online","Server restart cancelled - No players online","Restart serveru zrušen - Žádní hráči online","Перезапуск сервера отменён - Нет игроков онлайн","Restart serwera anulowany - Brak graczy online","Szerver újraindítás megszakítva - Nincsenek játékosok online","Riavvio server annullato - Nessun giocatore online","Reinicio del servidor cancelado - No hay jugadores en línea","Redémarrage du serveur annulé - Aucun joueur en ligne","伺服器重啟已取消 - 沒有在線玩家","サーバー再起動キャンセル - オンラインプレイヤーなし","Reinício do servidor cancelado - Nenhum jogador online","服务器重启已取消 - 没有在线玩家",
"VSTR_NOTIFY_RESTART_IN","Server restart in","Serverneustart in","Server restart in","Restart serveru za","Перезапуск сервера через","Restart serwera za","Szerver újraindítás","Riavvio server tra","Reinicio del servidor en","Redémarrage du serveur dans","伺服器將在以下時間重啟","サーバー再起動まで","Reinício do servidor em","服务器将在以下时间重启",
"VSTR_XML_NOMINAL","Nominal:","Nominal:","Nominal:","Nominální:","Номинал:","Nominał:","Nominális:","Nominale:","Nominal:","Nominal:","標稱數量:","名目:","Nominal:","标称数量:",
"VSTR_XML_LIFETIME","LifeTime:","Lebensdauer:","LifeTime:","Životnost:","Время жизни:","Czas życia:","Élettartam:","Durata vita:","Tiempo de vida:","Durée de vie:","刷新週期:","ライフタイム:","Tempo de vida:","刷新周期:",
"VSTR_XML_RESTOCK","Restock:","Nachschub:","Restock:","Doplnění:","Пополнение:","Uzupełnienie:","Feltöltés:","Rifornimento:","Reabastecimiento:","Réappro.:","補充時間:","再補充:","Reabastecimento:","补充时间:",
"VSTR_XML_MINIMUM","Minimum:","Minimum:","Minimum:","Minimum:","Минимум:","Minimum:","Minimum:","Minimo:","Mínimo:","Minimum:","最小值:","最小:","Mínimo:","最小值:",
"VSTR_XML_QUANTMIN","Quantmin:","Mindestmenge:","Quantmin:","Min. množství:","Мин. количество:","Ilość min:","Min. mennyiség:","Quantità min:","Cantidad mín:","Qté min:","最小數量:","最小数量:","Quantidade mín:","最小数量:",
"VSTR_XML_QUANTMAX","Quantmax:","Höchstmenge:","Quantmax:","Max. množství:","Макс. количество:","Ilość maks:","Max. mennyiség:","Quantità max:","Cantidad máx:","Qté max:","最大數量:","最大数量:","Quantidade máx:","最大数量:",
"VSTR_XML_COST","Cost:","Kosten:","Cost:","Cena:","Стоимость:","Koszt:","Költség:","Costo:","Costo:","Coût:","遊戲成本:","コスト:","Custo:","游戏成本:",
"VSTR_XML_FILTER_FROM_LOADED","Filter items from loaded XML","Elemente aus geladenem XML filtern","Filter items from loaded XML","Filtrovat položky z načteného XML","Фильтровать элементы из загруженного XML","Filtruj elementy z załadowanego XML","Elemek szűrése betöltött XML-ből","Filtra elementi da XML caricato","Filtrar elementos del XML cargado","Filtrer éléments du XML chargé","從已加載的XML中過濾物品","読み込まれたXMLからアイテムをフィルタ","Filtrar itens do XML carregado","从已加载的XML中过滤物品",
"VSTR_BTN_DELETE_SELECTED","Delete Selected","Ausgewählte löschen","Delete Selected","Smazat vybrané","Удалить выбранное","Usuń wybrane","Kiválasztottak törlése","Elimina selezionati","Eliminar seleccionado","Supprimer sélection","刪除所選","選択を削除","Excluir selecionado","删除所选",
"VSTR_BTN_DELETE_ALL","Delete All","Alle löschen","Delete All","Smazat vše","Удалить всё","Usuń wszystko","Összes törlése","Elimina tutto","Eliminar todo","Tout supprimer","刪除全部","すべて削除","Excluir tudo","删除全部",
"VSTR_LBL_SEND_SERVER_STATUS","Send Server Status Logs","Serverstatus-Logs senden","Send Server Status Logs","Odeslat protokoly stavu serveru","Отправлять логи состояния сервера","Wysyłaj logi statusu serwera","Szerverállapot naplók küldése","Invia log stato server","Enviar registros de estado del servidor","Envoyer journaux état serveur","發送伺服器狀態日誌","サーバーステータスログを送信","Enviar logs de status do servidor","发送服务器状态日志",
"VSTR_EVERY_60_SEC","Every: 60 seconds","Alle: 60 Sekunden","Every: 60 seconds","Každých: 60 sekund","Каждые: 60 секунд","Co: 60 sekund","Minden: 60 másodperc","Ogni: 60 secondi","Cada: 60 segundos","Toutes les: 60 secondes","每隔: 60 秒","60秒ごと","A cada: 60 segundos","每隔: 60 秒",
"VSTR_EVERY_5_MIN","Every: 5 minutes","Alle: 5 Minuten","Every: 5 minutes","Každých: 5 minut","Каждые: 5 минут","Co: 5 minut","Minden: 5 perc","Ogni: 5 minuti","Cada: 5 minutos","Toutes les: 5 minutes","每隔: 5 分鐘","5分ごと","A cada: 5 minutos","每隔: 5 分钟",
"VSTR_EVERY_10_MIN","Every: 10 minutes","Alle: 10 Minuten","Every: 10 minutes","Každých: 10 minut","Каждые: 10 минут","Co: 10 minut","Minden: 10 perc","Ogni: 10 minuti","Cada: 10 minutos","Toutes les: 10 minutes","每隔: 10 分鐘","10分ごと","A cada: 10 minutos","每隔: 10 分钟",
"VSTR_EVERY_15_MIN","Every: 15 minutes","Alle: 15 Minuten","Every: 15 minutes","Každých: 15 minut","Каждые: 15 минут","Co: 15 minut","Minden: 15 perc","Ogni: 15 minuti","Cada: 15 minutos","Toutes les: 15 minutes","每隔: 15 分鐘","15分ごと","A cada: 15 minutos","每隔: 15 分钟",
"VSTR_WEATHER_RAIN","Rain","Regen","Rain","Déšť","Дождь","Deszcz","Eső","Pioggia","Lluvia","Pluie","雨量","雨","Chuva","雨量",
"VSTR_WEATHER_OVERCAST","Overcast","Bewölkung","Overcast","Zataženo","Облачность","Zachmurzenie","Felhőzet","Nebulosità","Nubosidad","Nébulosité","陰天","曇り","Nebulosidade","阴天",
"VSTR_WEATHER_FOG","Fog","Nebel","Fog","Mlha","Туман","Mgła","Köd","Nebbia","Niebla","Brouillard","霧氣","霧","Névoa","雾气",
"VSTR_WEATHER_WINDFORCE","WindForce","Windstärke","WindForce","Síla větru","Сила ветра","Siła wiatru","Szél ereje","Forza vento","Fuerza viento","Force du vent","風力","風力","Força vento","风力",
"VSTR_TIME_PRESETS","Time Presets","Zeitvoreinstellungen","Time Presets","Časové předvolby","Временные пресеты","Ustawienia czasu","Idő előbeállítások","Preset tempo","Preajustes de tiempo","Préréglages temporels","時間預設","時間プリセット","Predefinições de tempo","时间预设",
"VSTR_WEATHER_PRESETS","Weather Presets","Wettervoreinstellungen","Weather Presets","Předvolby počasí","Погодные пресеты","Ustawienia pogody","Időjárás előbeállítások","Preset meteo","Preajustes meteorológicos","Préréglages météo","天氣預設","天気プリセット","Predefinições meteorológicas","天气预设",
"VSTR_SELECT","SELECT","AUSWÄHLEN","SELECT","VYBRAT","ВЫБРАТЬ","WYBIERZ","KIVÁLASZTÁS","SELEZIONA","SELECCIONAR","SÉLECTIONNER","選擇","選択","SELECIONAR","选择",
"VSTR_ENABLED","ENABLED","AKTIVIERT","ENABLED","POVOLENO","ВКЛЮЧЕНО","WŁĄCZONE","ENGEDÉLYEZVE","ABILITATO","ACTIVADO","ACTIVÉ","已啟用","有効","ATIVADO","已启用",
"VSTR_PERM_DeleteObjectAtCrosshair","Delete Object At Crosshair","Objekt am Fadenkreuz löschen","Delete Object At Crosshair","Smazat objekt na mířidlech","Удалить объект на прицеле","Usuń obiekt na celowniku","Objektum törlése a célkereszt alatt","Elimina oggetto al mirino","Eliminar objeto en retícula","Supprimer objet à la visée","刪除準星處物體","照準の対象を削除","Excluir objeto na mira","删除准星处物体",
"VSTR_PERM_TeleportToCrosshair","Teleport To Crosshair","Teleport zum Fadenkreuz","Teleport To Crosshair","Teleport na mířidla","Телепорт на прицел","Teleport na celownik","Teleportálás a célkeresztre","Teletrasporto al mirino","Teletransportar a retícula","Téléporter à la visée","傳送到準星","照準に転送","Teletransportar para mira","传送到准星",
"VSTR_PERM_FreeCamera","Free Camera","Freie Kamera","Free Camera","Volná kamera","Свободная камера","Wolna kamera","Szabad kamera","Camera libera","Cámara libre","Caméra libre","自由相機","フリーカメラ","Câmera livre","自由相机",
"VSTR_PERM_RepairVehiclesAtCrosshair","Repair Vehicles At Crosshair","Fahrzeuge am Fadenkreuz reparieren","Repair Vehicles At Crosshair","Opravit vozidla na mířidlech","Починить транспорт на прицеле","Napraw pojazdy na celowniku","Járművek javítása a célkereszt alatt","Ripara veicoli al mirino","Reparar vehículos en retícula","Réparer véhicules à la visée","修復準星處載具","照準の乗り物を修理","Reparar veículos na mira","修复准星处载具",
"VSTR_PERM_MenuItemManager","Item Manager Menu","Gegenstands-Manager-Menü","Item Manager Menu","Menu správce předmětů","Меню менеджера предметов","Menu menedżera przedmiotów","Tárgykezelő menü","Menu gestore oggetti","Menú gestor objetos","Menu gestionnaire objets","物品管理器菜單","アイテムマネージャーメニュー","Menu gerenciador itens","物品管理器菜单",
"VSTR_PERM_MenuItemManager_SpawnItem","Spawn Item","Gegenstand spawnen","Spawn Item","Vytvořit předmět","Создать předмет","Spawnuj przedmiot","Tárgy létrehozása","Genera oggetto","Generar objeto","Générer objet","生成物品","アイテムを生成","Gerar item","生成物品",
"VSTR_PERM_MenuItemManager_EditPreset","Edit Preset","Voreinstellung bearbeiten","Edit Preset","Upravit předvolbu","Редактировать пресет","Edytuj preset","Előbeállítás szerkesztése","Modifica preset","Editar preajuste","Modifier préréglage","編輯預設","プリセット編集","Editar predefinição","编辑预设",
"VSTR_PERM_MenuItemManager_SpawnPreset","Spawn Preset","Voreinstellung spawnen","Spawn Preset","Vytvořit předvolbu","Создать пресет","Spawnuj preset","Előbeállítás létrehozása","Genera preset","Generar preajuste","Générer préréglage","生成預設","プリセット生成","Gerar predefinição","生成预设",
"VSTR_PERM_MenuItemManager_DeletePreset","Delete Preset","Voreinstellung löschen","Delete Preset","Smazat předvolbu","Удалить пресет","Usuń preset","Előbeállítás törlése","Elimina preset","Eliminar preajuste","Supprimer préréglage","刪除預設","プリセット削除","Excluir predefinição","删除预设",
"VSTR_PERM_MenuItemManager_AddPreset","Add Preset","Voreinstellung hinzufügen","Add Preset","Přidat předvolbu","Добавить пресет","Dodaj preset","Előbeállítás hozzáadása","Aggiungi preset","Añadir preajuste","Ajouter préréglage","添加預設","プリセット追加","Adicionar predefinição","添加预设",
"VSTR_PERM_MenuServerManager","Server Manager Menu","Server-Manager-Menü","Server Manager Menu","Menu správce serveru","Меню менеджера сервера","Menu menedżera serwera","Szerverkezelő menü","Menu gestore server","Menú gestor servidor","Menu gestionnaire serveur","伺服器管理器菜單","サーバーマネージャーメニュー","Menu gerenciador servidor","服务器管理器菜单",
"VSTR_PERM_ServerManager_RestartServer","Restart Server","Server neustarten","Restart Server","Restartovat server","Перезапустить сервер","Restart serwera","Szerver újraindítása","Riavvia server","Reiniciar servidor","Redémarrer serveur","重啟伺服器","サーバー再起動","Reiniciar servidor","重启服务器",
"VSTR_PERM_ServerManager_LockServer","Lock Server","Server sperren","Lock Server","Zamknout server","Заблокировать сервер","Zablokuj serwer","Szerver zárolása","Blocca server","Bloquear servidor","Verrouiller serveur","鎖定伺服器","サーバーロック","Bloquear servidor","锁定服务器",
"VSTR_PERM_ServerManager_KickAllPlayers","Kick All Players","Alle Spieler kicken","Kick All Players","Vyhodit všechny hráče","Кикнуть всех игроков","Wyrzuć wszystkich graczy","Minden játékos kirúgása","Espelli tutti giocatori","Expulsar todos jugadores","Expulser tous joueurs","踢出全部玩家","全プレイヤーキック","Expulsar todos jogadores","踢出全部玩家",
"VSTR_PERM_ServerManager_LoadScripts","Load Scripts","Skripte laden","Load Scripts","Načíst skripty","Загрузить скрипты","Załaduj skrypty","Szkriptek betöltése","Carica script","Cargar scripts","Charger scripts","加載腳本","スクリプト読み込み","Carregar scripts","加载脚本",
"VSTR_PERM_MenuWeatherManager","Weather Manager Menu","Wetter-Manager-Menü","Weather Manager Menu","Menu správce počasí","Меню менеджера погоды","Menu menedżera pogody","Időjáráskezelő menü","Menu gestore meteo","Menú gestor clima","Menu gestionnaire météo","天氣管理器菜單","天気マネージャーメニュー","Menu gerenciador clima","天气管理器菜单",
"VSTR_PERM_WeatherManager_ApplyWeather","Apply Weather","Wetter anwenden","Apply Weather","Použít počasí","Применить погоду","Zastosuj pogodę","Időjárás alkalmazása","Applica meteo","Aplicar clima","Appliquer météo","應用天氣","天気適用","Aplicar clima","应用天气",
"VSTR_PERM_WeatherManager_ApplyTime","Apply Time","Zeit anwenden","Apply Time","Použít čas","Применить время","Zastosuj czas","Idő alkalmazása","Applica tempo","Aplicar hora","Appliquer heure","應用時間","時間適用","Aplicar hora","应用时间",
"VSTR_PERM_WeatherManager_SavePreset","Save Preset","Voreinstellung speichern","Save Preset","Uložit předvolbu","Сохранить пресет","Zapisz preset","Előbeállítás mentése","Salva preset","Guardar preajuste","Sauvegarder préréglage","保存預設","プリセット保存","Salvar predefinição","保存预设",
"VSTR_PERM_WeatherManager_DeletePreset","Delete Preset","Voreinstellung löschen","Delete Preset","Smazat předvolbu","Удалить пресет","Usuń preset","Előbeállítás törlése","Elimina preset","Eliminar preajuste","Supprimer préréglage","刪除預設","プリセット削除","Excluir predefinição","删除预设",
"VSTR_PERM_WeatherManager_ApplyPreset","Apply Preset","Voreinstellung anwenden","Apply Preset","Použít předvolbu","Применить пресет","Zastosuj preset","Előbeállítás alkalmazása","Applica preset","Aplicar preajuste","Appliquer préréglage","應用預設","プリセット適用","Aplicar predefinição","应用预设",
"VSTR_PERM_WeatherManager_ApplyTimePreset","Apply Time Preset","Zeitvoreinstellung anwenden","Apply Time Preset","Použít časovou předvolbu","Применить временной пресет","Zastosuj preset czasu","Idő előbeállítás alkalmazása","Applica preset tempo","Aplicar preajuste hora","Appliquer préréglage heure","應用時間預設","時間プリセット適用","Aplicar predefinição hora","应用时间预设",
"VSTR_PERM_WeatherManager_SaveTimePreset","Save Time Preset","Zeitvoreinstellung speichern","Save Time Preset","Uložit časovou předvolbu","Сохранить временной пресет","Zapisz preset czasu","Idő előbeállítás mentése","Salva preset tempo","Guardar preajuste hora","Sauvegarder préréglage heure","保存時間預設","時間プリセット保存","Salvar predefinição hora","保存时间预设",
"VSTR_PERM_WeatherManager_DeleteTimePreset","Delete Time Preset","Zeitvoreinstellung löschen","Delete Time Preset","Smazat časovou předvolbu","Удалить временной пресет","Usuń preset czasu","Idő előbeállítás törlése","Elimina preset tempo","Eliminar preajuste hora","Supprimer préréglage heure","刪除時間預設","時間プリセット削除","Excluir predefinição hora","删除时间预设",
"VSTR_PERM_MenuObjectManager","Object Manager Menu","Objekt-Manager-Menü","Object Manager Menu","Menu správce objektů","Меню менеджера объектов","Menu menedżera obiektów","Objektumkezelő menü","Menu gestore oggetti","Menú gestor objetos","Menu gestionnaire objets","對象管理器菜單","オブジェクトマネージャーメニュー","Menu gerenciador objetos","对象管理器菜单",
"VSTR_PERM_MenuObjectManager_CreateNewSet","Create New Set","Neues Set erstellen","Create New Set","Vytvořit novou sadu","Создать новый набор","Utwórz nowy zestaw","Új készlet létrehozása","Crea nuovo set","Crear nuevo conjunto","Créer nouveau ensemble","創建新集合","新規セット作成","Criar novo conjunto","创建新集合",
"VSTR_PERM_MenuObjectManager_UpdateSet","Update Set","Set aktualisieren","Update Set","Aktualizovat sadu","Обновить набор","Zaktualizuj zestaw","Készlet frissítése","Aggiorna set","Actualizar conjunto","Mettre à jour ensemble","更新集合","セット更新","Atualizar conjunto","更新集合",
"VSTR_PERM_MenuObjectManager_DeleteSet","Delete Set","Set löschen","Delete Set","Smazat sadu","Удалить набор","Usuń zestaw","Készlet törlése","Elimina set","Eliminar conjunto","Supprimer ensemble","刪除集合","セット削除","Excluir conjunto","删除集合",
"VSTR_PERM_MenuObjectManager_EditSet","Edit Set","Set bearbeiten","Edit Set","Upravit sadu","Редактировать набор","Edytuj zestaw","Készlet szerkesztése","Modifica set","Editar conjunto","Modifier ensemble","編輯集合","セット編集","Editar conjunto","编辑集合",
"VSTR_PERM_MenuPermissionsEditor","Permissions Editor Menu","Berechtigungs-Editor-Menü","Permissions Editor Menu","Menu editoru oprávnění","Меню редактора прав","Menu edytora uprawnień","Jogosultságszerkesztő menü","Menu editor permessi","Menú editor permisos","Menu éditeur permissions","權限編輯器菜單","権限エディターメニュー","Menu editor permissões","权限编辑器菜单",
"VSTR_PERM_PermissionsEditor_RemoveUser","Remove User","Benutzer entfernen","Remove User","Odebrat uživatele","Удалить пользователя","Usuń użytkownika","Felhasználó eltávolítása","Rimuovi utente","Eliminar usuario","Supprimer utilisateur","移除用戶","ユーザー削除","Remover usuário","移除用户",
"VSTR_PERM_PermissionsEditor_AddUser","Add User","Benutzer hinzufügen","Add User","Přidat uživatele","Добавить пользователя","Dodaj użytkownika","Felhasználó hozzáadása","Aggiungi utente","Añadir usuario","Ajouter utilisateur","添加用戶","ユーザー追加","Adicionar usuário","添加用户",
"VSTR_PERM_PermissionsEditor_CreateUserGroup","Create User Group","Benutzergruppe erstellen","Create User Group","Vytvořit skupinu uživatelů","Создать группу","Utwórz grupę użytkowników","Felhasználói csoport létrehozása","Crea gruppo utenti","Crear grupo usuarios","Créer groupe utilisateurs","創建用戶組","ユーザーグループ作成","Criar grupo usuários","创建用户组",
"VSTR_PERM_PermissionsEditor_DeleteUserGroup","Delete User Group","Benutzergruppe löschen","Delete User Group","Smazat skupinu uživatelů","Удалить группу","Usuń grupę użytkowników","Felhasználói csoport törlése","Elimina gruppo utenti","Eliminar grupo usuarios","Supprimer groupe utilisateurs","刪除用戶組","ユーザーグループ削除","Excluir grupo usuários","删除用户组",
"VSTR_PERM_PermissionsEditor_ChangePermLevel","Change Permission Level","Berechtigungsstufe ändern","Change Permission Level","Změnit úroveň oprávnění","Изменить уровень прав","Zmień poziom uprawnień","Jogosultsági szint módosítása","Cambia livello permessi","Cambiar nivel permisos","Changer niveau permissions","更改權限級別","権限レベル変更","Alterar nível permissões","更改权限级别",
"VSTR_PERM_MenuPlayerManager","Player Manager Menu","Spieler-Manager-Menü","Player Manager Menu","Menu správce hráčů","Меню менеджера игроков","Menu menedżera graczy","Játékoskezelő menü","Menu gestore giocatori","Menú gestor jugadores","Menu gestionnaire joueurs","玩家管理器菜單","プレイヤーマネージャーメニュー","Menu gerenciador jogadores","玩家管理器菜单",
"VSTR_PERM_PlayerManager_GiveGodmode","Give God Mode","Gott-Modus geben","Give God Mode","Dát režim boha","Дать режим бога","Nadaj tryb boga","Isten mód adása","Dai modalità dio","Dar modo dios","Donner mode dieu","給予上帝模式","ゴッドモード付与","Dar modo deus","给予上帝模式",
"VSTR_PERM_PlayerManager_BanPlayer","Ban Player","Spieler bannen","Ban Player","Zabanovat hráče","Забанить игрока","Zbanuj gracza","Játékos kitiltása","Banna giocatore","Banear jugador","Bannir joueur","封禁玩家","プレイヤーBAN","Banir jogador","封禁玩家",
"VSTR_PERM_PlayerManager_KickPlayer","Kick Player","Spieler kicken","Kick Player","Vyhodit hráče","Кикнуть игрока","Wyrzuć gracza","Játékos kirúgása","Espelli giocatore","Expulsar jugador","Expulser joueur","踢出玩家","プレイヤーキック","Expulsar jogador","踢出玩家",
"VSTR_PERM_PlayerManager_HealPlayers","Heal Players","Spieler heilen","Heal Players","Vyléčit hráče","Вылечить игроков","Ulecz graczy","Játékosok gyógyítása","Cura giocatori","Curar jugadores","Soigner joueurs","治療玩家","プレイヤー治療","Curar jogadores","治疗玩家",
